,cell_index,age_at_chase,rls,div_duration,dist_from_sen,late_daughter_shape,x_input,y_input_raw,y_input_norm,y_pred_norm,residual,r_sq,est_std_err,shapiro_p,a,b,c,genotype,substrate
749,1,,,,,,0.16666666666666666,492.5290000000002,0.9625158781341002,0.9735433836683457,-0.011027505534245474,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
750,1,,,,,,0.3333333333333333,458.6569999999999,0.8963221355846086,0.8974176648118074,-0.0010955292271987993,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
751,1,,,,,,0.5,470.0999999999999,0.9186844110922203,0.8270995469654231,0.09158486412679723,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
752,1,,,,,,0.6666666666666666,431.61900000000014,0.84348361376561,0.7621459705430269,0.08133764322258308,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
753,1,,,,,,0.8333333333333334,408.298,0.7979089718786034,0.7021476767992049,0.09576129507939857,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
754,1,,,,,,1.0,318.1680000000001,0.6217740517089763,0.6467266291765101,-0.024952577467533876,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
755,1,,,,,,1.1666666666666667,286.97500000000014,0.5608156963905342,0.5955336313770809,-0.03471793498654674,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
756,1,,,,,,1.3333333333333333,231.19499999999994,0.4518086416134139,0.5482461271506329,-0.09643748553721904,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
757,1,,,,,,1.5,212.9290000000001,0.41611264192609126,0.5045661679357558,-0.08845352600966455,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
758,1,,,,,,1.6666666666666667,200.3230000000001,0.39147759473139115,0.4642185355490545,-0.07274094081766336,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
759,1,,,,,,1.8333333333333333,187.06500000000005,0.36556838834496125,0.4269490080935908,-0.06138061974862957,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
760,1,,,,,,2.0,178.08400000000006,0.3480174317484515,0.39252275816048726,-0.04450532641203575,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
761,1,,,,,,2.1666666666666665,177.3409999999999,0.34656543745480833,0.3607228732310967,-0.014157435776288363,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
762,1,,,,,,2.3333333333333335,179.81999999999994,0.35140997830802606,0.3313489889571053,0.020060989350920766,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
763,1,,,,,,2.5,166.61899999999991,0.32561216313927804,0.3042160267071577,0.02139613643212035,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
764,1,,,,,,2.6666666666666665,179.125,0.35005178714506274,0.27915302742554954,0.0708987597195132,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
765,1,,,,,,2.8333333333333335,166.2750000000001,0.32493990736940875,0.2560020744553813,0.06893783291402744,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
766,1,,,,,,3.0,150.0050000000001,0.2931445545328412,0.23461729853910668,0.05852725599373454,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
767,1,,,,,,3.1666666666666665,149.586,0.29232573137128465,0.21486395872719666,0.07746177264408799,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
768,1,,,,,,3.3333333333333335,139.97800000000007,0.2735494713802742,0.19661759340391843,0.07693187797635576,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
769,1,,,,,,3.5,136.79500000000007,0.2673291512770908,0.1797632360810219,0.08756591519606888,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
770,1,,,,,,3.6666666666666665,97.52999999999997,0.1905962361493815,0.164194691018216,0.02640154513116552,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
771,1,,,,,,3.8333333333333335,79.53500000000008,0.15542983330402008,0.14981386410627268,0.0056159691977474,0.9733448747381372,0.04829912608444447,0.1350492686033249,1.0802647632677633,0.4761400897558623,-0.024308407681076186,rpn4d,UBL-mScarletI-NS
